63	63	0
2	19	3
3	38	3
35	35	0
2	126	4
5	122	3
2	137	4
2	69	4
1	125	5
1	136	5
132	132	0
5	161	3
12	127	2
10	10	0
89	89	0
1	14	3
2	88	4
1	170	3
5	84	3
2	99	4
34	158	1
10	180	2
28	127	1
1	87	5
11	59	2
1	26	4
1	37	4
12	78	2
64	64	0
49	49	0
12	28	1
5	12	1
2	50	4
2	61	4
1	144	5
13	88	2
33	90	1
1	155	5
1	15	3
3	177	4
13	99	2
91	91	0
35	163	1
3	7	1
43	43	0
181	181	0
28	28	0
27	122	1
166	166	0
5	65	3
21	50	1
145	145	0
32	85	1
2	148	4
5	133	3
5	144	3
3	178	4
180	180	0
2	80	4
4	23	2
27	123	1
7	176	3
24	183	1
2	30	3
12	138	2
13	168	2
10	55	2
13	157	2
1	18	4
1	59	5
11	185	2
1	70	5
5	95	3
105	105	0
30	75	1
16	41	1
77	77	0
14	14	0
41	175	1
1	127	5
2	167	4
6	14	1
5	152	3
5	163	3
2	72	4
1	2	1
1	166	5
2	22	3
131	131	0
3	41	3
68	68	0
4	182	3
12	62	2
1	89	5
2	129	4
5	125	3
2	140	4
7	39	2
33	169	1
110	110	0
1	128	5
1	3	1
185	185	0
12	130	2
36	166	1
130	130	0
1	17	3
1	51	5
31	143	1
1	185	5
5	76	3
5	87	3
2	91	4
2	102	4
1	79	5
1	90	5
2	11	2
177	177	0
1	29	4
1	40	4
12	70	2
12	81	2
35	98	1
17	43	1
27	27	0
2	159	4
12	31	1
2	53	4
22	56	1
2	64	4
1	147	5
13	91	2
62	62	0
1	158	5
13	102	2
124	124	0
1	6	2
5	27	2
2	121	4
2	132	4
4	57	3
7	42	2
5	106	3
10	57	2
31	78	1
33	150	1
18	18	0
45	179	1
1	120	5
13	159	2
1	98	5
116	116	0
2	83	4
1	177	5
5	68	3
2	94	4
37	171	1
7	179	3
1	82	5
2	33	3
29	130	1
170	170	0
13	160	2
1	21	4
1	32	4
12	73	2
13	107	2
5	98	3
2	151	4
127	127	0
2	56	4
1	139	5
6	15	1
